Language,Category,Aspect,Count,Negative,Neutral,Positive
English,Others,academia,89,43,28,18
English,Others,amp,96,36,35,25
English,Others,career,60,21,26,13
English,Others,contract,109,55,42,12
English,Others,germany,88,32,28,28
English,Others,job,69,32,18,19
English,Others,position,66,22,35,9
English,Others,research,84,28,31,25
English,Others,researcher,87,55,21,11
English,Others,science,64,17,27,20
English,Others,term,56,23,24,9
English,Others,time,63,21,20,22
English,Others,university,63,34,14,15
English,Others,year,56,24,17,15
English,PhD Student,academia,82,47,12,23
English,PhD Student,germany,53,33,10,10
English,PhD Student,year,69,42,14,13
English,PostDoc,academia,339,200,65,74
English,PostDoc,academic,313,180,64,69
English,PostDoc,amp,226,130,34,62
English,PostDoc,career,128,79,25,24
English,PostDoc,change,100,50,27,23
English,PostDoc,condition,103,53,23,27
English,PostDoc,contract,164,93,53,18
English,PostDoc,day,56,24,12,20
English,PostDoc,discussion,57,24,16,17
English,PostDoc,germany,187,109,38,40
English,PostDoc,job,159,99,27,33
English,PostDoc,life,70,43,17,10
English,PostDoc,people,127,83,27,17
English,PostDoc,position,136,83,33,20
English,PostDoc,postdoc,109,58,22,29
English,PostDoc,precarity,73,58,9,6
English,PostDoc,problem,83,60,15,8
English,PostDoc,research,170,79,44,47
English,PostDoc,researcher,96,59,16,21
English,PostDoc,scholar,82,60,9,13
English,PostDoc,science,79,43,22,14
English,PostDoc,scientist,69,48,14,7
English,PostDoc,student,73,35,20,18
English,PostDoc,system,186,129,35,22
English,PostDoc,term,87,51,24,12
English,PostDoc,thing,59,36,7,16
English,PostDoc,thread,73,28,25,20
English,PostDoc,time,146,100,15,31
English,PostDoc,university,101,59,25,17
English,PostDoc,way,64,40,10,14
English,PostDoc,work,300,162,61,77
English,PostDoc,year,198,120,37,41
English,Professor,academia,189,122,24,43
English,Professor,academic,221,135,35,51
English,Professor,amp,142,85,20,37
English,Professor,career,83,45,18,20
English,Professor,colleague,54,27,6,21
English,Professor,contract,103,54,26,23
English,Professor,germany,122,78,22,22
English,Professor,job,126,83,25,18
English,Professor,people,76,50,12,14
English,Professor,position,99,45,31,23
English,Professor,postdoc,63,35,17,11
English,Professor,professor,59,28,15,16
English,Professor,research,86,36,25,25
English,Professor,researcher,62,30,16,16
English,Professor,student,61,35,9,17
English,Professor,system,102,74,10,18
English,Professor,term,52,39,8,5
English,Professor,time,91,43,31,17
English,Professor,university,93,61,14,18
English,Professor,work,138,70,33,35
English,Professor,year,128,67,32,29
English,Unknown,academia,110,72,21,17
English,Unknown,amp,262,171,34,57
English,Unknown,germany,98,74,12,12
English,Unknown,passport,61,52,2,7
English,Unknown,people,55,47,6,2
English,Unknown,research,62,35,17,10
English,Unknown,scholar,55,47,5,3
English,Unknown,work,128,80,21,27
English,Unknown,year,67,42,19,6
German,Others,antwort,70,33,29,8
German,Others,arbeit,273,131,98,44
German,Others,arbeitsbedingung,261,108,121,32
German,Others,arbeitsverhältnis,67,33,30,4
German,Others,arbeitsvertrag,57,25,25,7
German,Others,bedingung,69,41,19,9
German,Others,befristung,150,87,56,7
German,Others,beitrag,86,23,35,28
German,Others,bereich,69,25,34,10
German,Others,berlin,66,24,26,16
German,Others,beschäftigung,66,24,38,4
German,Others,bildung,81,31,40,10
German,Others,bmbf,73,34,26,13
German,Others,chance,70,31,24,15
German,Others,daueraufgabe,141,38,74,29
German,Others,dauerstelle,62,42,18,2
German,Others,debatte,119,49,52,18
German,Others,deutschland,147,73,61,13
German,Others,diskussion,110,29,58,23
German,Others,druck,69,34,20,15
German,Others,entfristung,87,43,39,5
German,Others,erfahrung,84,33,38,13
German,Others,familie,64,42,16,6
German,Others,folge,76,20,45,11
German,Others,forderung,87,25,52,10
German,Others,forschung,308,162,114,32
German,Others,frage,109,59,43,7
German,Others,frau,58,42,13,3
German,Others,geld,89,61,22,6
German,Others,geschichte,51,23,16,12
German,Others,gesellschaft,62,24,34,4
German,Others,gesetz,78,40,32,6
German,Others,grund,70,51,12,7
German,Others,hanna,196,92,72,32
German,Others,hochschule,384,157,191,36
German,Others,idee,84,38,23,23
German,Others,innovation,62,33,20,9
German,Others,jahr,577,298,184,95
German,Others,job,111,67,30,14
German,Others,karriere,100,64,26,10
German,Others,kind,75,44,21,10
German,Others,kollege,127,54,38,35
German,Others,kommentar,52,34,14,4
German,Others,land,135,68,55,12
German,Others,lehre,72,42,24,6
German,Others,leute,116,81,28,7
German,Others,mensch,218,142,50,26
German,Others,mitarbeiter,93,36,48,9
German,Others,mittelbau,159,67,72,20
German,Others,monat,96,41,37,18
German,Others,nachwuchs,93,50,33,10
German,Others,personal,69,34,31,4
German,Others,perspektive,121,39,60,22
German,Others,politik,75,41,26,8
German,Others,postdoc,93,43,42,8
German,Others,problem,217,165,39,13
German,Others,prof,83,31,41,11
German,Others,professor,69,32,29,8
German,Others,professur,96,48,44,4
German,Others,projekt,102,47,42,13
German,Others,promotion,182,80,78,24
German,Others,reform,101,34,49,18
German,Others,semester,52,24,22,6
German,Others,situation,97,50,36,11
German,Others,stelle,151,88,46,17
German,Others,studium,146,70,56,20
German,Others,stunde,67,25,33,9
German,Others,system,194,120,47,27
German,Others,tag,113,44,43,26
German,Others,thema,238,56,129,53
German,Others,thread,79,25,31,23
German,Others,uhr,184,23,136,25
German,Others,un,51,32,16,3
German,Others,uni,420,223,159,38
German,Others,universität,175,78,83,14
German,Others,unsicherheit,54,48,4,2
German,Others,vertrag,227,121,86,20
German,Others,verwaltung,53,37,10,6
German,Others,video,63,29,20,14
German,Others,vorschlag,58,25,18,15
German,Others,wissenschaft,699,317,303,79
German,Others,wissenschaftler,326,178,117,31
German,Others,wissenschaftlerin,60,36,20,4
German,Others,wissenschaftssystem,75,38,30,7
German,Others,woche,92,35,32,25
German,Others,wort,58,31,16,11
German,Others,zeit,235,110,80,45
German,Others,zukunft,70,24,32,14
German,PD,arbeit,52,24,20,8
German,PD,befristung,55,22,27,6
German,PD,jahr,112,46,48,18
German,PD,leute,56,43,12,1
German,PD,problem,71,51,19,1
German,PD,professur,71,43,22,6
German,PD,system,71,53,16,2
German,PD,vertrag,52,31,17,4
German,PD,wissenschaft,161,87,59,15
German,PhD Student,arbeit,86,44,24,18
German,PhD Student,arbeitsbedingung,52,19,23,10
German,PhD Student,deutschland,58,33,13,12
German,PhD Student,forschung,110,58,31,21
German,PhD Student,hanna,61,28,20,13
German,PhD Student,hochschule,71,42,21,8
German,PhD Student,jahr,284,157,79,48
German,PhD Student,leute,57,40,9,8
German,PhD Student,mensch,73,51,11,11
German,PhD Student,monat,51,26,14,11
German,PhD Student,problem,89,76,11,2
German,PhD Student,professur,57,32,22,3
German,PhD Student,promotion,90,58,21,11
German,PhD Student,stelle,72,46,18,8
German,PhD Student,system,86,63,15,8
German,PhD Student,thema,77,30,25,22
German,PhD Student,uni,135,73,30,32
German,PhD Student,vertrag,89,45,27,17
German,PhD Student,wissenschaft,199,117,60,22
German,PhD Student,wissenschaftler,112,67,32,13
German,PhD Student,woche,58,27,18,13
German,PhD Student,zeit,98,57,23,18
German,PostDoc,antrag,76,39,25,12
German,PostDoc,antwort,91,46,32,13
German,PostDoc,arbeit,364,178,112,74
German,PostDoc,arbeitgeber,53,34,16,3
German,PostDoc,arbeitsbedingung,221,113,70,38
German,PostDoc,arbeitsvertrag,73,33,31,9
German,PostDoc,arbeitszeit,53,23,30,0
German,PostDoc,argument,92,63,20,9
German,PostDoc,artikel,87,40,26,21
German,PostDoc,ausland,75,50,17,8
German,PostDoc,bedingung,100,53,32,15
German,PostDoc,befristung,146,90,39,17
German,PostDoc,beispiel,53,27,14,12
German,PostDoc,beitrag,138,45,42,51
German,PostDoc,bereich,78,37,35,6
German,PostDoc,beschäftigung,60,25,30,5
German,PostDoc,bewerbung,65,34,20,11
German,PostDoc,bildung,72,38,28,6
German,PostDoc,bmbf,110,63,27,20
German,PostDoc,buch,90,30,31,29
German,PostDoc,bund,53,26,21,6
German,PostDoc,bundestag,54,22,20,12
German,PostDoc,cdu,51,38,9,4
German,PostDoc,chance,103,52,30,21
German,PostDoc,dauerstelle,72,46,19,7
German,PostDoc,debatte,135,59,52,24
German,PostDoc,deutschland,206,130,47,29
German,PostDoc,dis,65,37,17,11
German,PostDoc,diskussion,146,62,52,32
German,PostDoc,drittmittel,93,56,34,3
German,PostDoc,druck,82,50,24,8
German,PostDoc,entfristung,79,43,29,7
German,PostDoc,erfahrung,87,43,32,12
German,PostDoc,erfolg,59,25,11,23
German,PostDoc,ergebnis,80,31,39,10
German,PostDoc,fach,60,33,22,5
German,PostDoc,familie,96,62,22,12
German,PostDoc,folge,56,25,24,7
German,PostDoc,forderung,73,32,33,8
German,PostDoc,forscher,57,35,17,5
German,PostDoc,forschung,424,228,152,44
German,PostDoc,frage,164,96,56,12
German,PostDoc,frau,66,38,19,9
German,PostDoc,gedanke,54,27,10,17
German,PostDoc,geld,142,88,46,8
German,PostDoc,geschichte,61,37,12,12
German,PostDoc,gesellschaft,79,42,30,7
German,PostDoc,gesetz,77,45,26,6
German,PostDoc,gespräch,63,28,15,20
German,PostDoc,glück,81,36,9,36
German,PostDoc,grund,75,52,18,5
German,PostDoc,hanna,253,129,70,54
German,PostDoc,hochschule,269,131,106,32
German,PostDoc,idee,82,38,29,15
German,PostDoc,innovation,113,67,35,11
German,PostDoc,interview,60,23,12,25
German,PostDoc,jahr,894,489,264,141
German,PostDoc,job,124,73,28,23
German,PostDoc,karriere,187,95,69,23
German,PostDoc,kind,173,109,43,21
German,PostDoc,kollege,143,74,36,33
German,PostDoc,kommentar,59,41,10,8
German,PostDoc,konferenz,52,17,29,6
German,PostDoc,kopf,51,33,11,7
German,PostDoc,kritik,67,49,10,8
German,PostDoc,land,121,64,42,15
German,PostDoc,lehre,127,77,41,9
German,PostDoc,leistung,69,36,25,8
German,PostDoc,leute,232,178,39,15
German,PostDoc,lösung,78,47,21,10
German,PostDoc,mensch,187,123,42,22
German,PostDoc,mitarbeiter,102,59,35,8
German,PostDoc,mittel,57,29,22,6
German,PostDoc,mittelbau,155,84,54,17
German,PostDoc,monat,163,89,58,16
German,PostDoc,möglichkeit,67,29,28,10
German,PostDoc,nachwuchs,141,86,38,17
German,PostDoc,person,93,65,17,11
German,PostDoc,personal,85,52,30,3
German,PostDoc,perspektive,176,81,60,35
German,PostDoc,politik,98,60,29,9
German,PostDoc,position,76,34,30,12
German,PostDoc,post,57,38,15,4
German,PostDoc,postdoc,226,123,76,27
German,PostDoc,problem,367,279,64,24
German,PostDoc,prof,89,51,26,12
German,PostDoc,professor,164,98,51,15
German,PostDoc,professur,226,146,59,21
German,PostDoc,projekt,144,68,49,27
German,PostDoc,promotion,229,102,100,27
German,PostDoc,publikation,56,28,24,4
German,PostDoc,qualifikation,65,40,22,3
German,PostDoc,realität,61,39,18,4
German,PostDoc,reform,52,24,20,8
German,PostDoc,sache,73,43,15,15
German,PostDoc,sauerei,67,67,0,0
German,PostDoc,semester,54,30,19,5
German,PostDoc,situation,120,73,32,15
German,PostDoc,stelle,272,159,87,26
German,PostDoc,struktur,66,32,26,8
German,PostDoc,studium,95,55,32,8
German,PostDoc,stunde,79,31,35,13
German,PostDoc,system,397,268,90,39
German,PostDoc,tag,143,77,41,25
German,PostDoc,teil,91,43,35,13
German,PostDoc,thema,255,98,104,53
German,PostDoc,thread,175,57,65,53
German,PostDoc,track,52,22,21,9
German,PostDoc,tweet,88,37,26,25
German,PostDoc,uhr,66,11,42,13
German,PostDoc,un,70,42,21,7
German,PostDoc,uni,555,346,167,42
German,PostDoc,universität,309,184,94,31
German,PostDoc,urlaub,52,38,5,9
German,PostDoc,verantwortung,59,25,24,10
German,PostDoc,vertrag,253,129,90,34
German,PostDoc,verwaltung,53,36,14,3
German,PostDoc,video,83,45,24,14
German,PostDoc,vorschlag,109,60,30,19
German,PostDoc,wirtschaft,79,45,26,8
German,PostDoc,wissenschaft,844,438,289,117
German,PostDoc,wissenschaftler,428,268,126,34
German,PostDoc,wissenschaftlerin,63,38,17,8
German,PostDoc,wissenschaftssystem,161,101,42,18
German,PostDoc,woche,163,82,52,29
German,PostDoc,wort,93,56,14,23
German,PostDoc,zeit,363,209,104,50
German,PostDoc,zukunft,72,35,24,13
German,Professor,antrag,93,50,36,7
German,Professor,antwort,87,46,29,12
German,Professor,arbeit,260,136,89,35
German,Professor,arbeitsbedingung,183,86,68,29
German,Professor,argument,99,68,19,12
German,Professor,artikel,55,30,14,11
German,Professor,ausland,79,43,27,9
German,Professor,bedingung,76,41,25,10
German,Professor,befristung,149,88,48,13
German,Professor,beitrag,88,23,38,27
German,Professor,beruf,59,33,16,10
German,Professor,bewerbung,73,40,20,13
German,Professor,bmbf,81,50,23,8
German,Professor,buch,53,13,31,9
German,Professor,chance,106,67,23,16
German,Professor,dauerstelle,86,48,33,5
German,Professor,debatte,100,56,28,16
German,Professor,deutschland,138,83,37,18
German,Professor,diskussion,133,54,46,33
German,Professor,drittmittel,89,45,34,10
German,Professor,druck,63,39,19,5
German,Professor,entfristung,83,45,32,6
German,Professor,entscheidung,59,29,26,4
German,Professor,erfahrung,67,33,17,17
German,Professor,fach,72,43,23,6
German,Professor,familie,61,37,16,8
German,Professor,finanzierung,56,31,24,1
German,Professor,forderung,51,28,22,1
German,Professor,forschung,373,211,127,35
German,Professor,frage,125,73,39,13
German,Professor,frau,63,35,14,14
German,Professor,geld,135,92,35,8
German,Professor,generation,78,57,14,7
German,Professor,gesellschaft,59,32,21,6
German,Professor,gesetz,64,35,27,2
German,Professor,gespräch,56,32,15,9
German,Professor,glück,56,19,9,28
German,Professor,grund,80,57,12,11
German,Professor,habil,61,43,11,7
German,Professor,hanna,229,136,48,45
German,Professor,hochschule,241,144,79,18
German,Professor,idee,72,38,20,14
German,Professor,innovation,70,44,21,5
German,Professor,jahr,690,388,202,100
German,Professor,job,89,39,31,19
German,Professor,karriere,142,89,35,18
German,Professor,kind,93,59,21,13
German,Professor,kollege,135,84,28,23
German,Professor,kommentar,54,38,10,6
German,Professor,land,108,62,38,8
German,Professor,lehre,127,69,44,14
German,Professor,leute,203,136,25,42
German,Professor,liebe,53,26,14,13
German,Professor,lösung,78,54,19,5
German,Professor,mensch,170,104,40,26
German,Professor,mitarbeiter,82,46,31,5
German,Professor,mittelbau,75,46,18,11
German,Professor,monat,114,66,23,25
German,Professor,möglichkeit,64,30,23,11
German,Professor,nachwuchs,122,71,39,12
German,Professor,person,53,33,18,2
German,Professor,perspektive,134,58,48,28
German,Professor,politik,77,48,19,10
German,Professor,post,52,22,16,14
German,Professor,postdoc,200,117,65,18
German,Professor,problem,296,229,53,14
German,Professor,prof,88,50,29,9
German,Professor,professor,102,53,38,11
German,Professor,professur,309,188,96,25
German,Professor,projekt,130,57,58,15
German,Professor,promotion,251,124,112,15
German,Professor,punkt,90,43,30,17
German,Professor,qualifikation,57,31,23,3
German,Professor,reform,83,38,35,10
German,Professor,sicherheit,56,31,16,9
German,Professor,sinn,54,41,10,3
German,Professor,situation,80,50,17,13
German,Professor,stelle,265,161,80,24
German,Professor,studium,76,45,22,9
German,Professor,system,329,227,67,35
German,Professor,tag,77,43,13,21
German,Professor,thema,156,63,66,27
German,Professor,thread,94,36,25,33
German,Professor,track,87,41,43,3
German,Professor,un,71,47,21,3
German,Professor,uni,391,242,109,40
German,Professor,universität,134,72,40,22
German,Professor,unsicherheit,54,46,5,3
German,Professor,vertrag,164,86,59,19
German,Professor,video,65,37,16,12
German,Professor,vorschlag,78,32,31,15
German,Professor,wissenschaft,662,392,191,79
German,Professor,wissenschaftler,263,155,83,25
German,Professor,wissenschaftssystem,171,90,53,28
German,Professor,woche,77,40,20,17
